time_s,goal_steer_deg,curr_steer_deg
1746812425.316,75.980,0.000
1746812425.320,76.000,75.980
1746812425.422,75.430,76.000
1746812425.520,77.190,75.430
1746812425.620,77.150,77.190
1746812425.720,77.050,77.150
1746812425.821,80.270,77.050
1746812425.921,79.010,80.270
1746812426.021,79.010,79.010
1746812426.120,82.530,79.010
1746812426.220,69.240,82.530
1746812426.320,69.240,69.240
1746812426.421,64.060,69.240
1746812426.520,39.080,64.060
1746812426.620,39.080,39.080
1746812426.720,48.440,39.080
1746812426.820,58.590,48.440
1746812426.921,58.590,58.590
1746812427.020,41.280,58.590
1746812427.121,-140.180,41.280
1746812427.221,-145.360,-140.180
1746812427.321,-170.140,-145.360
1746812427.420,-177.720,-170.140
1746812427.521,-199.550,-177.720
1746812427.620,-199.550,-199.550
1746812427.721,-219.780,-199.550
1746812427.820,-222.790,-219.780
1746812427.920,-222.790,-222.790
1746812428.021,-232.800,-222.790
1746812428.121,-243.000,-232.800
1746812428.221,-244.740,-243.000
1746812428.320,-257.580,-244.740
1746812428.421,-257.580,-257.580
1746812428.521,-259.320,-257.580
1746812428.620,-261.020,-259.320
1746812428.720,-261.020,-261.020
1746812428.821,-259.270,-261.020
1746812428.921,-398.610,-259.270
1746812429.020,-400.410,-398.610
1746812429.121,-250.180,-400.410
1746812429.221,-250.180,-250.180
1746812429.321,-241.520,-250.180
1746812429.421,-237.790,-241.520
1746812429.520,-237.790,-237.790
1746812429.621,-226.550,-237.790
1746812429.720,-328.310,-226.550
1746812429.820,-328.310,-328.310
1746812429.920,-328.310,-328.310
1746812430.020,-167.480,-328.310
1746812430.120,-167.480,-167.480
1746812430.220,-151.620,-167.480
1746812430.320,-109.400,-151.620
1746812430.421,-109.400,-109.400
1746812430.521,-62.420,-109.400
1746812430.620,-62.420,-62.420
1746812430.720,-62.420,-62.420
1746812430.820,-62.420,-62.420
1746812430.920,-5.950,-62.420
1746812431.020,-5.950,-5.950
1746812431.120,18.250,-5.950
1746812431.221,68.770,18.250
1746812431.321,69.130,68.770
1746812431.420,77.950,69.130
1746812431.520,99.750,77.950
1746812431.620,100.250,99.750
1746812431.720,108.820,100.250
1746812431.820,126.130,108.820
1746812431.921,126.130,126.130
1746812432.021,133.530,126.130
1746812432.121,141.940,133.530
1746812432.221,144.730,141.940
1746812432.321,146.920,144.730
1746812432.420,146.920,146.920
1746812432.520,145.990,146.920
1746812432.621,141.420,145.990
1746812432.721,141.420,141.420
1746812432.820,135.630,141.420
1746812432.923,239.280,135.630
1746812433.020,124.550,239.280
1746812433.120,102.450,124.550
1746812433.220,102.450,102.450
1746812433.321,96.010,102.450
1746812433.421,80.100,96.010
1746812433.521,80.100,80.100
1746812433.620,47.340,80.100
1746812433.720,47.340,47.340
1746812433.820,34.650,47.340
1746812433.920,11.840,34.650
1746812434.020,11.840,11.840
1746812434.120,4.550,11.840
1746812434.221,-10.110,4.550
1746812434.320,-10.170,-10.110
1746812434.421,-37.070,-10.170
1746812434.520,-37.270,-37.070
1746812434.620,-40.420,-37.270
1746812434.720,-55.650,-40.420
1746812434.820,-55.940,-55.650
1746812434.921,-61.180,-55.940
1746812435.020,-73.540,-61.180
1746812435.121,-73.910,-73.540
1746812435.220,-88.700,-73.910
1746812435.320,-89.140,-88.700
1746812435.420,-89.280,-89.140
1746812435.520,-100.840,-89.280
1746812435.621,-100.840,-100.840
1746812435.721,-100.840,-100.840
1746812435.821,-104.850,-100.840
1746812435.920,-112.060,-104.850
1746812436.020,-112.060,-112.060
1746812436.121,19.660,-112.060
1746812436.221,19.770,19.660
1746812436.321,19.870,19.770
1746812436.420,19.980,19.870
1746812436.521,17.290,19.980
1746812436.621,17.380,17.290
1746812436.720,13.550,17.380
1746812436.821,8.840,13.550
1746812436.921,8.890,8.840
1746812437.020,-3.760,8.890
1746812437.121,-20.640,-3.760
1746812437.220,-20.740,-20.640
1746812437.320,-42.570,-20.740
1746812437.420,-42.780,-42.570
1746812437.520,-42.940,-42.780
1746812437.620,-84.420,-42.940
1746812437.721,-115.790,-84.420
1746812437.821,-115.790,-115.790
1746812437.920,-129.570,-115.790
1746812438.020,-151.620,-129.570
1746812438.120,-151.620,-151.620
1746812438.220,-316.740,-151.620
1746812438.320,-271.530,-316.740
1746812438.420,-271.530,-271.530
1746812438.520,-271.530,-271.530
1746812438.621,-119.770,-271.530
1746812438.721,-119.770,-119.770
1746812438.821,7.010,-119.770
