time_s,goal_steer_deg,curr_steer_deg
1746813514.116,-629.340,-629.340
1746813514.216,-629.340,-629.340
1746813514.316,-629.340,-629.340
1746813514.416,-629.340,-629.340
1746813514.516,-629.340,-629.340
1746813514.616,-629.340,-629.340
1746813514.716,-629.340,-629.340
1746813514.816,-629.340,-629.340
1746813514.918,-629.340,-629.340
1746813515.016,-629.340,-629.340
1746813515.116,-629.340,-629.340
1746813515.216,-629.340,-629.340
1746813515.316,-629.340,-629.340
1746813515.416,-629.340,-629.340
1746813515.516,-629.340,-629.340
1746813515.616,-492.860,-629.340
1746813515.716,-492.860,-492.860
1746813515.816,-492.860,-492.860
1746813515.916,-475.920,-492.860
1746813516.017,-434.630,-475.920
1746813516.116,-434.630,-434.630
1746813516.219,-434.630,-434.630
1746813516.321,-355.980,-434.630
1746813516.416,-355.980,-355.980
1746813516.516,-355.980,-355.980
1746813516.616,-283.130,-355.980
1746813516.717,-283.130,-283.130
1746813516.816,-283.130,-283.130
1746813516.917,-278.020,-283.130
1746813517.017,-217.920,-278.020
1746813517.126,-217.920,-217.920
1746813517.219,-178.620,-217.920
1746813517.316,-149.960,-178.620
1746813517.417,-149.960,-149.960
1746813517.516,-149.960,-149.960
1746813517.616,-124.340,-149.960
1746813517.717,-103.090,-124.340
1746813517.816,-103.090,-103.090
1746813517.918,-82.790,-103.090
1746813518.017,-30.640,-82.790
1746813518.137,-30.640,-30.640
1746813518.216,-30.640,-30.640
1746813518.328,3.220,-30.640
1746813518.416,21.260,3.220
1746813518.518,21.390,21.260
1746813518.617,21.520,21.390
1746813518.716,30.730,21.520
1746813518.816,66.100,30.730
1746813518.916,66.490,66.100
1746813519.017,66.880,66.490
1746813519.123,67.290,66.880
1746813519.217,96.530,67.290
1746813519.316,97.070,96.530
1746813519.416,97.210,97.070
1746813519.516,102.150,97.210
1746813519.617,111.290,102.150
1746813519.718,111.290,111.290
1746813519.816,111.290,111.290
1746813519.917,113.160,111.290
1746813520.016,113.670,113.160
1746813520.119,113.390,113.670
1746813520.217,113.390,113.390
1746813520.317,105.200,113.390
1746813520.417,105.200,105.200
1746813520.516,105.200,105.200
1746813520.617,105.200,105.200
1746813520.716,93.430,105.200
1746813520.816,93.430,93.430
1746813520.917,93.430,93.430
1746813521.016,93.430,93.430
1746813521.116,88.000,93.430
1746813521.216,75.180,88.000
1746813521.316,75.180,75.180
1746813521.417,70.650,75.180
1746813521.516,36.720,70.650
1746813521.616,36.720,36.720
1746813521.716,36.720,36.720
1746813521.816,36.720,36.720
1746813521.917,1.250,36.720
1746813522.017,1.240,1.250
1746813522.116,1.240,1.240
1746813522.216,-17.800,1.240
1746813522.317,-19.520,-17.800
1746813522.416,-18.770,-19.520
1746813522.517,-18.360,-18.770
1746813522.616,-14.820,-18.360
1746813522.722,-14.920,-14.820
1746813522.816,-15.010,-14.920
1746813522.916,-32.290,-15.010
1746813523.016,-32.480,-32.290
1746813523.116,-32.680,-32.480
1746813523.216,-32.870,-32.680
1746813523.316,-33.060,-32.870
1746813523.417,34.720,-33.060
1746813523.524,34.920,34.720
1746813523.617,35.120,34.920
1746813523.717,47.010,35.120
1746813523.816,47.280,47.010
1746813523.916,47.550,47.280
1746813524.017,53.870,47.550
1746813524.117,59.640,53.870
1746813524.216,59.640,59.640
1746813524.316,62.770,59.640
1746813524.417,61.080,62.770
1746813524.524,61.080,61.080
1746813524.618,56.040,61.080
1746813524.716,56.040,56.040
1746813524.823,56.040,56.040
1746813524.917,53.390,56.040
1746813525.017,49.060,53.390
1746813525.116,49.060,49.060
1746813525.216,49.060,49.060
1746813525.317,37.930,49.060
1746813525.418,37.930,37.930
1746813525.527,37.930,37.930
1746813525.616,37.400,37.930
1746813525.716,30.160,37.400
1746813525.819,30.160,30.160
1746813525.916,30.160,30.160
1746813526.017,26.990,30.160
1746813526.116,19.910,26.990
1746813526.220,19.910,19.910
1746813526.320,19.910,19.910
1746813526.417,19.910,19.910
1746813526.517,10.600,19.910
1746813526.617,10.600,10.600
1746813526.717,10.600,10.600
1746813526.818,1.740,10.600
1746813526.917,1.740,1.740
1746813527.019,1.740,1.740
1746813527.117,-2.720,1.740
1746813527.217,-5.480,-2.720
1746813527.316,-5.520,-5.480
1746813527.416,-5.560,-5.520
1746813527.516,-9.810,-5.560
1746813527.619,-9.870,-9.810
1746813527.717,-9.940,-9.870
1746813527.816,-12.720,-9.940
1746813527.917,-12.270,-12.720
1746813528.017,-12.640,-12.270
1746813528.116,-12.720,-12.640
1746813528.216,-12.800,-12.720
1746813528.316,-15.100,-12.800
1746813528.417,-15.190,-15.100
1746813528.517,-15.290,-15.190
1746813528.616,-15.380,-15.290
1746813528.716,-17.450,-15.380
1746813528.817,-17.550,-17.450
1746813528.916,-17.660,-17.550
1746813529.016,-17.760,-17.660
1746813529.116,-14.910,-17.760
1746813529.217,-13.270,-14.910
1746813529.316,-13.350,-13.270
1746813529.416,-13.430,-13.350
1746813529.523,-9.800,-13.430
1746813529.617,-9.860,-9.800
1746813529.716,-9.910,-9.860
1746813529.817,-6.260,-9.910
1746813529.918,-6.300,-6.260
1746813530.017,-6.330,-6.300
1746813530.116,-6.370,-6.330
1746813530.216,-6.400,-6.370
1746813530.316,-4.820,-6.400
1746813530.417,-5.720,-4.820
1746813530.517,-5.750,-5.720
1746813530.616,-5.780,-5.750
1746813530.716,-4.200,-5.780
1746813530.817,-5.100,-4.200
1746813530.931,-5.120,-5.100
1746813531.016,-5.150,-5.120
1746813531.116,-6.910,-5.150
1746813531.216,-6.940,-6.910
1746813531.317,-8.580,-6.940
1746813531.417,-11.720,-8.580
1746813531.519,-11.780,-11.720
1746813531.616,-11.840,-11.780
1746813531.716,-14.130,-11.840
1746813531.817,-20.120,-14.130
1746813531.916,-20.230,-20.120
1746813532.016,-20.340,-20.230
1746813532.117,-26.100,-20.340
1746813532.217,-31.130,-26.100
1746813532.317,-31.130,-31.130
1746813532.416,-31.130,-31.130
1746813532.516,-34.290,-31.130
1746813532.617,-40.350,-34.290
1746813532.716,-40.350,-40.350
1746813532.816,-40.880,-40.350
1746813532.917,-54.350,-40.880
1746813533.017,-54.350,-54.350
1746813533.116,-54.350,-54.350
1746813533.216,-54.350,-54.350
1746813533.327,-70.170,-54.350
1746813533.416,-70.170,-70.170
1746813533.516,-70.170,-70.170
1746813533.617,-74.230,-70.170
1746813533.719,-94.850,-74.230
1746813533.816,-94.850,-94.850
1746813533.916,-94.850,-94.850
1746813534.021,-124.340,-94.850
1746813534.116,-124.340,-124.340
1746813534.216,-124.340,-124.340
1746813534.316,-124.340,-124.340
1746813534.417,-145.600,-124.340
1746813534.517,-145.600,-145.600
1746813534.616,-145.600,-145.600
1746813534.716,-149.730,-145.600
1746813534.823,-169.120,-149.730
1746813534.917,-169.120,-169.120
1746813535.020,-172.030,-169.120
1746813535.117,-189.650,-172.030
1746813535.216,-189.650,-189.650
1746813535.317,-189.650,-189.650
1746813535.416,-189.650,-189.650
1746813535.517,-201.280,-189.650
1746813535.618,-201.280,-201.280
1746813535.720,-201.280,-201.280
1746813535.816,-218.800,-201.280
1746813535.917,-218.800,-218.800
1746813536.016,-218.800,-218.800
1746813536.116,-220.350,-218.800
1746813536.216,-230.240,-220.350
1746813536.317,-230.240,-230.240
1746813536.420,-230.240,-230.240
1746813536.519,-232.170,-230.240
1746813536.616,-243.780,-232.170
1746813536.716,-243.780,-243.780
1746813536.816,-243.780,-243.780
1746813536.916,-246.150,-243.780
1746813537.016,-264.540,-246.150
1746813537.117,-264.540,-264.540
1746813537.216,-266.470,-264.540
1746813537.317,-281.220,-266.470
