time_s,goal_steer_deg,curr_steer_deg
1746816780.234,-236.460,0.000
1746816780.244,-236.650,-236.460
1746816780.344,-238.740,-236.650
1746816780.444,-238.770,-238.740
1746816780.543,-240.480,-238.770
1746816780.643,-239.180,-240.480
1746816780.743,-237.490,-239.180
1746816780.843,-240.470,-237.490
1746816780.943,-238.340,-240.470
1746816781.043,-241.240,-238.340
1746816781.143,-241.240,-241.240
1746816781.243,-242.080,-241.240
1746816781.343,-243.980,-242.080
1746816781.444,-242.060,-243.980
1746816781.544,-233.630,-242.060
1746816781.643,-232.190,-233.630
1746816781.744,-217.080,-232.190
1746816781.843,-214.370,-217.080
1746816781.944,-194.260,-214.370
1746816782.043,-189.840,-194.260
1746816782.144,-169.030,-189.840
1746816782.244,-164.750,-169.030
1746816782.344,-145.600,-164.750
1746816782.444,-141.490,-145.600
1746816782.544,-123.630,-141.490
1746816782.645,-123.630,-123.630
1746816782.744,-103.400,-123.630
1746816782.844,-103.400,-103.400
1746816782.944,-85.870,-103.400
1746816783.043,-82.070,-85.870
1746816783.144,-70.200,-82.070
1746816783.243,-70.200,-70.200
1746816783.344,87.470,-70.200
1746816783.443,88.290,87.470
1746816783.544,53.750,88.290
1746816783.644,130.290,53.750
1746816783.744,106.450,130.290
1746816783.843,107.160,106.450
1746816783.944,110.900,107.160
1746816784.043,110.900,110.900
1746816784.143,115.440,110.900
1746816784.244,107.600,115.440
1746816784.344,-38.540,107.600
1746816784.444,-42.680,-38.540
1746816784.543,93.430,-42.680
1746816784.643,93.430,93.430
1746816784.744,-62.350,93.430
1746816784.843,-62.940,-62.350
1746816784.943,-74.200,-62.940
1746816785.043,-74.890,-74.200
1746816785.144,-87.760,-74.890
1746816785.245,-88.570,-87.760
1746816785.344,-100.970,-88.570
1746816785.443,-100.970,-100.970
1746816785.544,-106.720,-100.970
1746816785.643,-109.360,-106.720
1746816785.744,-113.900,-109.360
1746816785.844,-114.420,-113.900
1746816785.944,-114.420,-114.420
1746816786.049,-110.680,-114.420
1746816786.144,-110.680,-110.680
1746816786.244,-109.140,-110.680
1746816786.344,-98.540,-109.140
1746816786.443,-98.540,-98.540
1746816786.544,-79.840,-98.540
1746816786.644,-79.840,-79.840
1746816786.744,-68.400,-79.840
1746816786.843,-68.400,-68.400
1746816786.944,-63.670,-68.400
1746816787.043,-50.560,-63.670
1746816787.143,-50.560,-50.560
1746816787.244,102.030,-50.560
1746816787.343,102.980,102.030
1746816787.444,116.150,102.980
1746816787.544,117.210,116.150
1746816787.644,124.290,117.210
1746816787.743,124.290,124.290
1746816787.844,126.690,124.290
1746816787.944,126.690,126.690
1746816788.044,-16.080,126.690
1746816788.144,-16.260,-16.080
1746816788.244,-22.010,-16.260
1746816788.344,-22.230,-22.010
1746816788.444,-34.720,-22.230
1746816788.544,-35.050,-34.720
1746816788.643,-48.490,-35.050
1746816788.743,-48.950,-48.490
1746816788.844,-56.720,-48.950
1746816788.943,-57.240,-56.720
1746816789.044,-60.500,-57.240
1746816789.144,-61.050,-60.500
1746816789.243,-56.920,-61.050
1746816789.343,-60.520,-56.920
1746816789.444,-55.540,-60.520
1746816789.543,-55.540,-55.540
1746816789.644,-49.880,-55.540
1746816789.744,-49.880,-49.880
1746816789.843,-41.470,-49.880
1746816789.943,-41.470,-41.470
1746816790.043,-34.160,-41.470
1746816790.143,-31.330,-34.160
1746816790.243,111.830,-31.330
1746816790.343,117.400,111.830
1746816790.445,-18.400,117.400
1746816790.544,-18.560,-18.400
1746816790.643,122.440,-18.560
1746816790.743,128.070,122.440
1746816790.843,127.400,128.070
1746816790.943,126.040,127.400
1746816791.043,128.660,126.040
1746816791.143,128.660,128.660
1746816791.244,124.160,128.660
1746816791.344,127.570,124.160
1746816791.444,122.760,127.570
1746816791.543,122.760,122.760
1746816791.643,-22.360,122.760
1746816791.745,-29.310,-22.360
1746816791.844,-92.240,-29.310
1746816791.944,-54.610,-92.240
1746816792.043,-58.780,-54.610
1746816792.144,-78.610,-58.780
1746816792.243,-79.330,-78.610
1746816792.344,-96.900,-79.330
1746816792.443,-97.210,-96.900
1746816792.543,-106.940,-97.210
1746816792.643,-110.570,-106.940
1746816792.743,-112.880,-110.570
1746816792.844,-113.790,-112.880
1746816792.943,-114.920,-113.790
1746816793.043,-109.910,-114.920
1746816793.143,-107.600,-109.910
1746816793.244,-107.600,-107.600
1746816793.346,-94.100,-107.600
1746816793.443,-94.100,-94.100
1746816793.544,-77.600,-94.100
1746816793.644,-75.360,-77.600
1746816793.744,-61.640,-75.360
1746816793.844,-58.930,-61.640
1746816793.944,-44.420,-58.930
1746816794.044,-44.420,-44.420
1746816794.144,-34.620,-44.420
1746816794.244,-34.620,-34.620
1746816794.344,-21.780,-34.620
1746816794.444,-21.780,-21.780
1746816794.544,123.350,-21.780
1746816794.644,124.480,123.350
1746816794.743,1.200,124.480
1746816794.844,1.210,1.200
1746816794.943,130.260,1.210
1746816795.044,131.440,130.260
1746816795.143,149.700,131.440
1746816795.244,149.700,149.700
1746816795.344,80.730,149.700
1746816795.443,80.730,80.730
1746816795.544,149.700,80.730
1746816795.643,149.700,149.700
1746816795.744,13.030,149.700
1746816795.844,13.030,13.030
1746816795.944,0.500,13.030
1746816796.044,0.480,0.500
1746816796.143,-2.580,0.480
1746816796.243,-17.100,-2.580
1746816796.343,-17.280,-17.100
1746816796.443,-29.750,-17.280
1746816796.543,-34.780,-29.750
1746816796.643,-36.350,-34.780
1746816796.743,-35.760,-36.350
1746816796.844,-38.710,-35.760
1746816796.944,-37.630,-38.710
1746816797.044,-34.990,-37.630
1746816797.144,-35.310,-34.990
1746816797.244,-33.090,-35.310
1746816797.343,-33.400,-33.090
1746816797.443,-30.690,-33.400
1746816797.544,-30.970,-30.690
1746816797.644,-27.540,-30.970
1746816797.743,-27.780,-27.540
1746816797.844,-24.080,-27.780
1746816797.944,-21.430,-24.080
1746816798.044,-21.090,-21.430
1746816798.143,-21.090,-21.090
1746816798.244,-18.560,-21.090
1746816798.343,-18.560,-18.560
1746816798.443,-13.810,-18.560
1746816798.544,-25.230,-13.810
1746816798.644,-30.900,-25.230
1746816798.744,-26.600,-30.900
1746816798.844,-32.790,-26.600
1746816798.943,-32.790,-32.790
