time_s,goal_steer_deg,curr_steer_deg
1746817174.313,-276.340,0.000
1746817174.316,-276.390,-276.340
1746817174.416,-278.310,-276.390
1746817174.516,-279.790,-278.310
1746817174.616,-278.850,-279.790
1746817174.716,-278.850,-278.850
1746817174.816,-278.850,-278.850
1746817174.916,-280.040,-278.850
1746817175.016,-280.290,-280.040
1746817175.116,-279.350,-280.290
1746817175.216,-286.490,-279.350
1746817175.316,-280.850,-286.490
1746817175.416,-287.980,-280.850
1746817175.516,-282.350,-287.980
1746817175.616,-281.160,-282.350
1746817175.716,-280.100,-281.160
1746817175.816,-280.100,-280.100
1746817175.916,-273.330,-280.100
1746817176.016,-273.330,-273.330
1746817176.116,-246.200,-273.330
1746817176.216,-246.200,-246.200
1746817176.316,-215.780,-246.200
1746817176.416,-215.780,-215.780
1746817176.516,-177.390,-215.780
1746817176.616,-177.390,-177.390
1746817176.716,-145.220,-177.390
1746817176.816,-145.220,-145.220
1746817176.916,-114.150,-145.220
1746817177.016,-114.150,-114.150
1746817177.116,-88.150,-114.150
1746817177.216,-88.150,-88.150
1746817177.316,-61.250,-88.150
1746817177.416,-61.250,-61.250
1746817177.516,-48.800,-61.250
1746817177.616,-48.800,-48.800
1746817177.716,108.900,-48.800
1746817177.816,109.710,108.900
1746817177.916,162.780,109.710
1746817178.016,163.940,162.780
1746817178.116,139.810,163.940
1746817178.216,139.810,139.810
1746817178.316,148.190,139.810
1746817178.416,148.190,148.190
1746817178.516,154.390,148.190
1746817178.616,154.390,154.390
1746817178.716,151.430,154.390
1746817178.816,151.430,151.430
1746817178.916,145.760,151.430
1746817179.016,145.760,145.760
1746817179.116,136.010,145.760
1746817179.216,136.010,136.010
1746817179.316,121.830,136.010
1746817179.416,121.830,121.830
1746817179.516,106.720,121.830
1746817179.616,106.720,106.720
1746817179.716,89.260,106.720
1746817179.816,89.260,89.260
1746817179.916,82.580,89.260
1746817180.016,82.580,82.580
1746817180.116,86.200,82.580
1746817180.216,86.200,86.200
1746817180.316,90.380,86.200
1746817180.416,90.380,90.380
1746817180.516,106.440,90.380
1746817180.616,106.440,106.440
1746817180.716,-43.460,106.440
1746817180.816,-43.800,-43.460
1746817180.916,-34.940,-43.800
1746817181.016,-35.220,-34.940
1746817181.116,-32.610,-35.220
1746817181.216,-30.550,-32.610
1746817181.316,-22.600,-30.550
1746817181.416,192.580,-22.600
1746817181.516,198.000,192.580
1746817181.616,374.360,198.000
1746817181.716,374.360,374.360
1746817181.816,402.560,374.360
1746817181.916,402.560,402.560
1746817182.016,440.340,402.560
1746817182.116,440.340,440.340
1746817182.216,186.400,440.340
1746817182.316,186.400,186.400
1746817182.416,-629.340,186.400
1746817182.516,-629.340,-629.340
1746817182.616,-626.300,-629.340
1746817182.716,-626.300,-626.300
1746817182.816,-629.340,-626.300
1746817182.916,-629.340,-629.340
1746817183.016,-629.340,-629.340
1746817183.116,-629.340,-629.340
1746817183.216,-629.340,-629.340
1746817183.316,-629.340,-629.340
1746817183.416,-629.340,-629.340
1746817183.516,-629.340,-629.340
1746817183.616,-629.340,-629.340
1746817183.716,-629.340,-629.340
1746817183.816,-629.340,-629.340
1746817183.916,-629.340,-629.340
1746817184.016,-600.530,-629.340
1746817184.116,-600.530,-600.530
1746817184.216,-446.610,-600.530
1746817184.316,-446.610,-446.610
1746817184.416,-303.220,-446.610
1746817184.516,-325.770,-303.220
1746817184.616,-302.980,-325.770
1746817184.716,629.340,-302.980
1746817184.816,629.340,629.340
1746817184.916,629.340,629.340
1746817185.016,629.340,629.340
1746817185.116,629.340,629.340
1746817185.216,629.340,629.340
1746817185.316,629.340,629.340
1746817185.416,629.340,629.340
1746817185.516,629.340,629.340
1746817185.616,629.340,629.340
1746817185.716,629.340,629.340
1746817185.816,629.340,629.340
1746817185.916,629.340,629.340
1746817186.016,629.340,629.340
1746817186.116,466.330,629.340
1746817186.216,466.330,466.330
1746817186.316,29.410,466.330
1746817186.416,29.410,29.410
1746817186.516,-428.490,29.410
1746817186.616,-429.750,-428.490
1746817186.716,-330.380,-429.750
1746817186.816,-330.380,-330.380
1746817186.916,-361.820,-330.380
1746817187.016,-361.820,-361.820
1746817187.116,-515.460,-361.820
1746817187.216,-515.460,-515.460
1746817187.316,-629.340,-515.460
1746817187.416,-629.340,-629.340
1746817187.516,-595.840,-629.340
1746817187.616,-595.840,-595.840
1746817187.716,-401.870,-595.840
1746817187.816,-401.870,-401.870
1746817187.916,-532.020,-401.870
1746817188.016,-532.020,-532.020
1746817188.116,-629.340,-532.020
1746817188.216,-629.340,-629.340
1746817188.316,-629.340,-629.340
1746817188.416,-629.340,-629.340
1746817188.516,-266.270,-629.340
1746817188.616,-266.270,-266.270
1746817188.716,70.230,-266.270
1746817188.816,70.760,70.230
1746817188.916,9.290,70.760
1746817189.016,9.370,9.290
1746817189.116,354.760,9.370
1746817189.216,355.640,354.760
1746817189.316,230.540,355.640
1746817189.416,230.540,230.540
1746817189.516,629.340,230.540
1746817189.616,629.340,629.340
1746817189.716,629.340,629.340
1746817189.816,629.340,629.340
1746817189.916,629.340,629.340
1746817190.016,629.340,629.340
1746817190.116,629.340,629.340
1746817190.216,629.340,629.340
1746817190.316,629.340,629.340
1746817190.416,629.340,629.340
1746817190.516,629.340,629.340
1746817190.616,629.340,629.340
1746817190.716,629.340,629.340
1746817190.816,629.340,629.340
1746817190.916,629.340,629.340
1746817191.016,629.340,629.340
1746817191.116,629.340,629.340
1746817191.216,629.340,629.340
1746817191.316,629.340,629.340
1746817191.416,629.340,629.340
1746817191.516,629.340,629.340
1746817191.616,629.340,629.340
1746817191.716,629.340,629.340
1746817191.816,629.340,629.340
1746817191.916,629.340,629.340
1746817192.016,629.340,629.340
1746817192.116,629.340,629.340
1746817192.216,629.340,629.340
1746817192.316,629.340,629.340
1746817192.416,629.340,629.340
1746817192.516,629.340,629.340
1746817192.616,629.340,629.340
1746817192.716,629.340,629.340
1746817192.816,629.340,629.340
1746817192.916,629.340,629.340
1746817193.016,629.340,629.340
1746817193.116,629.340,629.340
1746817193.216,629.340,629.340
1746817193.316,629.340,629.340
1746817193.416,629.340,629.340
1746817193.516,629.340,629.340
1746817193.616,629.340,629.340
1746817193.716,629.340,629.340
