time_s,goal_steer_deg,curr_steer_deg
1746815743.120,333.410,0.000
1746815743.132,333.790,333.410
1746815743.232,341.920,333.790
1746815743.332,334.860,341.920
1746815743.432,334.860,334.860
1746815743.532,334.860,334.860
1746815743.632,334.860,334.860
1746815743.732,334.860,334.860
1746815743.832,334.860,334.860
1746815743.932,334.860,334.860
1746815744.032,335.830,334.860
1746815744.132,328.500,335.830
1746815744.232,328.500,328.500
1746815744.332,328.500,328.500
1746815744.432,328.500,328.500
1746815744.532,328.500,328.500
1746815744.632,328.500,328.500
1746815744.732,345.530,328.500
1746815744.832,318.820,345.530
1746815744.932,318.820,318.820
1746815745.032,318.820,318.820
1746815745.132,318.820,318.820
1746815745.232,283.230,318.820
1746815745.332,232.020,283.230
1746815745.432,232.020,232.020
1746815745.532,232.020,232.020
1746815745.633,232.020,232.020
1746815745.732,232.020,232.020
1746815745.832,232.020,232.020
1746815745.932,218.830,232.020
1746815746.033,129.820,218.830
1746815746.132,129.820,129.820
1746815746.232,129.820,129.820
1746815746.332,129.820,129.820
1746815746.432,129.820,129.820
1746815746.533,129.820,129.820
1746815746.632,129.820,129.820
1746815746.732,129.820,129.820
1746815746.834,-163.230,129.820
1746815746.933,-164.790,-163.230
1746815747.032,-166.360,-164.790
1746815747.132,-166.460,-166.360
1746815747.232,-166.460,-166.460
1746815747.336,-220.580,-166.460
1746815747.432,-291.270,-220.580
1746815747.539,-291.270,-291.270
1746815747.632,-291.270,-291.270
1746815747.733,-291.270,-291.270
1746815747.832,-291.270,-291.270
1746815747.932,-291.270,-291.270
1746815748.034,-291.270,-291.270
1746815748.132,-291.270,-291.270
1746815748.232,-341.380,-291.270
1746815748.333,-352.710,-341.380
1746815748.433,-352.710,-352.710
1746815748.532,-352.710,-352.710
1746815748.632,-352.710,-352.710
1746815748.732,-376.890,-352.710
1746815748.832,-519.360,-376.890
1746815748.932,-519.360,-519.360
1746815749.032,-519.360,-519.360
1746815749.134,-519.360,-519.360
1746815749.232,-519.360,-519.360
1746815749.332,-519.360,-519.360
1746815749.432,-519.360,-519.360
1746815749.535,-509.860,-519.360
