time_s,goal_steer_deg,curr_steer_deg
1746811896.840,467.400,0.000
1746811896.846,467.510,467.400
1746811896.946,468.720,467.510
1746811897.046,468.720,468.720
1746811897.146,468.720,468.720
1746811897.253,468.720,468.720
1746811897.346,468.720,468.720
1746811897.446,470.210,468.720
1746811897.546,470.210,470.210
1746811897.646,470.210,470.210
1746811897.746,474.870,470.210
1746811897.846,474.870,474.870
1746811897.946,474.870,474.870
1746811898.046,481.830,474.870
1746811898.146,481.830,481.830
1746811898.246,477.410,481.830
1746811898.346,477.410,477.410
1746811898.446,468.080,477.410
1746811898.546,468.080,468.080
1746811898.646,460.830,468.080
1746811898.746,451.380,460.830
1746811898.846,451.380,451.380
1746811898.946,412.890,451.380
1746811899.046,412.890,412.890
1746811899.146,370.760,412.890
1746811899.246,370.760,370.760
1746811899.346,362.970,370.760
1746811899.446,327.370,362.970
1746811899.546,327.370,327.370
1746811899.646,255.610,327.370
1746811899.746,255.610,255.610
1746811899.846,239.780,255.610
1746811899.947,199.300,239.780
1746811900.046,186.530,199.300
1746811900.146,133.260,186.530
1746811900.246,133.260,133.260
1746811900.346,-77.680,133.260
1746811900.446,-78.080,-77.680
1746811900.546,-121.600,-78.080
1746811900.646,-122.210,-121.600
1746811900.746,-157.130,-122.210
1746811900.846,-157.620,-157.130
1746811900.946,-185.250,-157.620
1746811901.046,-185.250,-185.250
1746811901.146,-197.260,-185.250
1746811901.246,-208.680,-197.260
1746811901.346,-208.680,-208.680
1746811901.446,-228.810,-208.680
1746811901.546,-228.810,-228.810
1746811901.646,-241.520,-228.810
1746811901.746,-241.520,-241.520
1746811901.846,-247.960,-241.520
1746811901.946,-247.960,-247.960
1746811902.046,-248.400,-247.960
1746811902.146,-250.400,-248.400
1746811902.246,-249.440,-250.400
1746811902.346,-242.010,-249.440
1746811902.446,-242.010,-242.010
1746811902.546,-240.020,-242.010
1746811902.646,-223.550,-240.020
1746811902.746,-223.550,-223.550
1746811902.846,-197.010,-223.550
1746811902.946,-197.010,-197.010
1746811903.046,-165.930,-197.010
1746811903.146,-165.930,-165.930
1746811903.246,-135.900,-165.930
1746811903.346,-135.900,-135.900
1746811903.447,-123.750,-135.900
1746811903.546,-106.460,-123.750
1746811903.646,-90.090,-106.460
1746811903.746,-78.200,-90.090
1746811903.846,-78.200,-78.200
1746811903.946,-55.030,-78.200
1746811904.046,-55.030,-55.030
1746811904.146,139.920,-55.030
1746811904.246,140.620,139.920
1746811904.346,156.300,140.620
1746811904.446,157.070,156.300
1746811904.546,167.740,157.070
1746811904.646,167.740,167.740
1746811904.746,173.940,167.740
1746811904.846,173.940,173.940
1746811904.946,175.740,173.940
1746811905.046,178.060,175.740
1746811905.146,176.690,178.060
1746811905.246,172.910,176.690
1746811905.346,172.450,172.910
1746811905.446,162.810,172.450
1746811905.546,162.810,162.810
1746811905.646,142.730,162.810
1746811905.746,142.730,142.730
1746811905.846,139.050,142.730
1746811905.946,-48.040,139.050
1746811906.046,-48.290,-48.040
1746811906.146,-77.360,-48.290
1746811906.246,-77.760,-77.360
1746811906.346,-103.060,-77.760
1746811906.446,-103.580,-103.060
1746811906.546,-121.240,-103.580
1746811906.646,-121.630,-121.240
1746811906.746,-133.260,-121.630
1746811906.846,-133.260,-133.260
1746811906.946,-135.370,-133.260
1746811907.046,-140.630,-135.370
1746811907.146,-140.630,-140.630
1746811907.246,-140.630,-140.630
1746811907.346,-143.420,-140.630
1746811907.446,-142.200,-143.420
1746811907.546,-138.530,-142.200
1746811907.646,-132.740,-138.530
1746811907.746,-132.740,-132.740
1746811907.846,-114.720,-132.740
1746811907.946,-114.720,-114.720
1746811908.046,-89.820,-114.720
1746811908.146,-89.820,-89.820
1746811908.246,-83.340,-89.820
1746811908.346,-71.410,-83.340
1746811908.446,-71.410,-71.410
1746811908.546,-48.170,-71.410
1746811908.646,-48.170,-48.170
1746811908.746,-34.650,-48.170
1746811908.846,-34.650,-34.650
1746811908.946,-24.660,-34.650
1746811909.046,-24.660,-24.660
1746811909.146,150.710,-24.660
1746811909.246,151.460,150.710
1746811909.346,152.210,151.460
1746811909.446,-4.960,152.210
1746811909.546,-4.990,-4.960
1746811909.646,-1.350,-4.990
1746811909.746,167.530,-1.350
1746811909.846,168.200,167.530
1746811909.946,169.370,168.200
1746811910.046,168.770,169.370
1746811910.146,171.870,168.770
1746811910.246,171.870,171.870
1746811910.346,174.970,171.870
1746811910.446,174.970,174.970
1746811910.546,4.270,174.970
1746811910.646,4.270,4.270
1746811910.746,161.780,4.270
1746811910.846,-14.610,161.780
1746811910.946,-14.690,-14.610
1746811911.046,-49.310,-14.690
1746811911.146,-49.570,-49.310
1746811911.246,-76.450,-49.570
1746811911.346,-76.840,-76.450
1746811911.446,-80.770,-76.840
1746811911.546,-94.730,-80.770
1746811911.646,-95.200,-94.730
1746811911.746,-107.260,-95.200
1746811911.846,-107.260,-107.260
1746811911.946,-109.660,-107.260
1746811912.046,-109.660,-109.660
1746811912.146,-105.660,-109.660
1746811912.246,-105.660,-105.660
1746811912.346,-101.910,-105.660
1746811912.446,-94.670,-101.910
1746811912.546,-94.670,-94.670
1746811912.646,-76.850,-94.670
1746811912.746,-76.850,-76.850
1746811912.846,-55.310,-76.850
1746811912.946,-55.310,-55.310
1746811913.046,-50.920,-55.310
1746811913.146,-40.180,-50.920
1746811913.246,-40.180,-40.180
1746811913.346,-24.940,-40.180
1746811913.446,-24.940,-24.940
1746811913.546,-14.910,-24.940
1746811913.646,-14.910,-14.910
1746811913.746,152.020,-14.910
1746811913.847,152.790,152.020
1746811913.947,155.400,152.790
1746811914.046,-1.540,155.400
1746811914.146,-1.550,-1.540
1746811914.246,1.550,-1.550
1746811914.346,1.550,1.550
1746811914.446,1.560,1.550
1746811914.546,-0.700,1.560
1746811914.646,-0.710,-0.700
1746811914.746,-2.210,-0.710
1746811914.846,1.430,-2.210
1746811914.946,0.120,1.430
1746811915.046,163.420,0.120
1746811915.146,163.590,163.420
1746811915.246,164.970,163.590
1746811915.346,-2.500,164.970
1746811915.446,-2.520,-2.500
1746811915.546,172.910,-2.520
1746811915.646,172.910,172.910
1746811915.746,166.440,172.910
1746811915.846,166.440,166.440
1746811915.946,164.110,166.440
1746811916.046,4.830,164.110
1746811916.146,4.830,4.830
1746811916.246,-1.080,4.830
1746811916.350,-1.100,-1.080
1746811916.446,-18.000,-1.100
1746811916.546,-18.100,-18.000
1746811916.646,-27.990,-18.100
1746811916.746,-28.140,-27.990
1746811916.846,-33.310,-28.140
1746811916.946,-33.490,-33.310
1746811917.046,-33.660,-33.490
1746811917.146,-35.810,-33.660
1746811917.246,-35.130,-35.810
1746811917.346,-32.250,-35.130
1746811917.446,-29.460,-32.250
1746811917.546,-29.920,-29.460
1746811917.646,-23.800,-29.920
1746811917.746,-23.920,-23.800
1746811917.846,-19.560,-23.920
1746811917.946,-19.660,-19.560
1746811918.046,-14.710,-19.660
1746811918.146,-14.780,-14.710
1746811918.246,-11.480,-14.780
1746811918.346,-11.540,-11.480
1746811918.446,-9.610,-11.540
1746811918.546,-10.520,-9.610
1746811918.646,-10.070,-10.520
1746811918.746,-7.230,-10.070
1746811918.846,-7.270,-7.230
1746811918.946,-6.800,-7.270
1746811919.046,-7.050,-6.800
1746811919.146,154.400,-7.050
1746811919.246,155.170,154.400
1746811919.346,-1.470,155.170
1746811919.446,-1.480,-1.470
1746811919.546,-1.990,-1.480
1746811919.646,-1.790,-1.990
1746811919.746,-6.030,-1.790
1746811919.846,-6.060,-6.030
1746811919.946,-6.100,-6.060
1746811920.046,-7.630,-6.100
1746811920.146,-5.520,-7.630
1746811920.246,-6.200,-5.520
1746811920.346,-3.240,-6.200
1746811920.446,-4.570,-3.240
1746811920.546,-2.330,-4.570
1746811920.646,-2.350,-2.330
1746811920.746,-1.860,-2.350
1746811920.846,-2.090,-1.860
1746811920.946,0.900,-2.090
1746811921.046,-0.410,0.900
1746811921.146,0.590,-0.410
1746811921.246,-1.350,0.590
1746811921.346,-0.700,-1.350
1746811921.446,1.800,-0.700
1746811921.546,0.710,1.800
1746811921.646,3.220,0.710
1746811921.746,2.140,3.220
1746811921.846,2.150,2.140
1746811921.946,2.660,2.150
1746811922.046,1.950,2.660
1746811922.146,4.720,1.950
1746811922.246,6.740,4.720
1746811922.346,4.900,6.740
1746811922.446,5.360,4.900
1746811922.546,7.890,5.360
1746811922.646,6.830,7.890
1746811922.746,6.870,6.830
1746811922.846,6.900,6.870
1746811922.946,8.900,6.900
1746811923.046,8.950,8.900
1746811923.146,8.490,8.950
1746811923.246,8.750,8.490
1746811923.346,9.790,8.750
1746811923.446,9.900,9.790
1746811923.546,9.730,9.900
1746811923.646,9.780,9.730
1746811923.747,9.820,9.780
1746811923.846,8.370,9.820
1746811923.946,9.060,8.370
1746811924.046,8.610,9.060
1746811924.146,8.870,8.610
1746811924.246,7.410,8.870
1746811924.346,8.600,7.410
1746811924.446,10.410,8.600
1746811924.546,8.590,10.410
1746811924.646,9.060,8.590
1746811924.746,6.120,9.060
1746811924.846,7.450,6.120
1746811924.946,10.480,7.450
1746811925.046,5.830,10.480
1746811925.146,5.850,5.830
1746811925.246,4.380,5.850
1746811925.346,5.050,4.380
1746811925.446,-5.380,5.050
1746811925.546,-5.420,-5.380
1746811925.646,-14.460,-5.420
1746811925.747,4.910,-14.460
1746811925.846,4.930,4.910
1746811925.946,-36.290,4.930
1746811926.046,-36.490,-36.290
1746811926.146,-49.980,-36.490
1746811926.246,-50.230,-49.980
1746811926.346,-52.970,-50.230
1746811926.446,33.470,-52.970
1746811926.546,33.640,33.470
1746811926.646,19.850,33.640
1746811926.746,19.950,19.850
1746811926.846,1.480,19.950
1746811926.946,1.490,1.480
1746811927.046,16.410,1.490
1746811927.146,16.490,16.410
1746811927.246,16.570,16.490
1746811927.346,14.170,16.570
1746811927.446,15.320,14.170
1746811927.546,15.890,15.320
1746811927.646,15.260,15.890
1746811927.746,15.550,15.260
1746811927.846,13.130,15.550
